"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","Аккаунт","0","","1","0","Загрузка файла в 'Мой аккаунт'","0"
"0","Каталог пицц","0","","1","0","Протестировать сортировку по новизне","0"
"0","Бонусная программа","0","","1","0","Заполнить форму для бонусной карты","0"
"0","Главная страница","0","Карточки товара","1","0","При клике на карточку товара открывается его страница","0"
"0","Каталог пицц","0","","1","0","Протестировать добавление пиццы в корзину","0"
"0","Каталог пицц","0","","1","0","Протестировать сортировку по уменьшению цены","0"
"0","Главная страница","0","Изменение карточек в слайдере","1","0","Работоспособность левой стрелки","0"
"0","Страница заказа","0","Заполнение формы","1","0","Проверка установки даты доставки","0"
"0","Главная страница","0","Карточки товара","1","0","Появление кнопки 'Добавить в корзину' ","0"
"0","Главная страница","0","","1","0","Проверка переходов между всеми разделами меню","0"
"0","Корзина","0","","1","0","Переход к оплате","0"
"0","Доставка и оплата","0","","1","0","Проверка информации о минимальной сумме заказа","0"
"0","Корзина","0","Изменение количества товара","1","0","Обновление итоговой суммы","0"
"0","Главная страница","0","Изменение карточек в слайдере","1","0","Работоспособность правой стрелки","0"
"0","Каталог пицц","0","","1","0","Протестировать фильтр по цене","0"
"0","Каталог пицц","0","","1","0","Протестировать сортировку по увеличению цены","0"
"0","Каталог пицц","0","","1","0","Протестировать сортировку по популярности","0"
"0","Главная страница","0","","1","0","Сыылки на соц. сети открываются в новых вкладках","0"
"0","Главная страница","0","","1","0","Пояление стрелки 'Вверх' при скролле вниз страницы","0"
"0","Корзина","0","Изменение количества товара","1","0","Проверка увеличения и уменьшения количества пиццы","0"
"0","Страница заказа","0","Заполнение формы","1","0","Заполнение формы заказа и подтверждение покупки","0"
"0","Каталог пицц","0","","1","0","Протестировать сортировку по умолчанию","0"
"0","Корзина","0","","1","0","Применение промокода","0"
