"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"Проверяем, что пиццы отображаются при фильтре по цене","2432","Проверка фильтра по цене","","Tue Nov 11 08:38:06 UTC 2025","passed","Tue Nov 11 08:38:08 UTC 2025","","Тестирование функциональность страницы с пиццами","by.tanya.pizzashop.pizza.PizzaPageTest","testFilterByPrice"
"Проверяем, что пиццы отображаются при сортировке по умолчанию","2058","Проверка сортировки по умолчанию","","Tue Nov 11 08:37:59 UTC 2025","passed","Tue Nov 11 08:38:01 UTC 2025","","Тестирование функциональность страницы с пиццами","by.tanya.pizzashop.pizza.PizzaPageTest","testSortByDefault"
"Проверяем, что пиццы отображаются при сортировке по популярности","2601","Проверка сортировки по популярности","","Tue Nov 11 08:38:01 UTC 2025","passed","Tue Nov 11 08:38:03 UTC 2025","","Тестирование функциональность страницы с пиццами","by.tanya.pizzashop.pizza.PizzaPageTest","testSortByPopularity"
"Проверяет, что при клике на стрелку вправо слайд меняется.","2288","Проверка пролистывания слайдера вправо","","Tue Nov 11 08:38:53 UTC 2025","passed","Tue Nov 11 08:38:56 UTC 2025","","Тестирование функционала главной страницы","by.tanya.pizzashop.mainpage.MainPageTest","testSliderOnMainPageRight"
"Авторизуется, добавляет пиццу в корзину, применяет промокод и проверяет, что скидка применилась.","5099","Применение промокода и проверка скидки","","Tue Nov 11 08:36:59 UTC 2025","passed","Tue Nov 11 08:37:04 UTC 2025","","Тестирование функционала корзины","by.tanya.pizzashop.cart.CartPageTest","applyPromocode"
"Проверяем, что пиццы отображаются при сортировке по уменьшению цены","2619","Проверка сортировки по уменьшению цены","","Tue Nov 11 08:37:54 UTC 2025","passed","Tue Nov 11 08:37:56 UTC 2025","","Тестирование функциональность страницы с пиццами","by.tanya.pizzashop.pizza.PizzaPageTest","testSortByPriceDesc"
"Авторизация, перейти в аккаунт, добавить изображение, проверить, что файл успешно загружен.","3619","Добавление файла в аккаунт","","Tue Nov 11 08:38:43 UTC 2025","broken","Tue Nov 11 08:38:47 UTC 2025","","Тестирование функциональности аккаунта","by.tanya.pizzashop.myAccount.MyAccountPageTest","testAddFile"
"Проверяет, что при клике на ссылки соцсетей открываются новые вкладки.","1983","Проверка открытия ссылок на соцсети в новой вкладке","","Tue Nov 11 08:38:51 UTC 2025","passed","Tue Nov 11 08:38:53 UTC 2025","","Тестирование функционала главной страницы","by.tanya.pizzashop.mainpage.MainPageTest","testLinks"
"Авторизация, добавление товара, заполнение формы заказа, согласие с условиями и проверка успешного оформления.","19041","Заполнение и подтверждение заказа","","Tue Nov 11 08:38:09 UTC 2025","passed","Tue Nov 11 08:38:28 UTC 2025","","Тестирование функционала страницы заказа","by.tanya.pizzashop.makeOrder.MakeOrderPageTest","testFillOrderForm"
"Проверяет, что при клике на изображение десерта открывается соответствующая страница.","2176","Переход на страницу десерта при клике по изображению","","Tue Nov 11 08:38:57 UTC 2025","passed","Tue Nov 11 08:38:59 UTC 2025","","Тестирование функционала главной страницы","by.tanya.pizzashop.mainpage.MainPageTest","testIsDessertPageOpened"
"Проверяем, что пиццы отображаются при сортировке по увеличению цены","2734","Проверка сортировки по увеличению цены","","Tue Nov 11 08:38:03 UTC 2025","passed","Tue Nov 11 08:38:06 UTC 2025","","Тестирование функциональность страницы с пиццами","by.tanya.pizzashop.pizza.PizzaPageTest","testSortByPriceAsc"
